Title,Type of Content,Biblio Annotation,Publish (or Start Date),Author(s),Parent Org,URL
The Final Report on Early Case Consideration of the Steering Committee on Justice Efficiencies and Access to the Justice System - Part C. Bail/Remand,Quasi-Government Report,"Recommendations such as weekend bail courts, crown discretion, and bail supervision programs, dealing with delays and inefficiencies in bail system
",1/1/2006,Standing Committee on Legal and Constitutional Affairs,Canada's Senate,https://www.justice.gc.ca/eng/rp-pr/csj-sjc/esc-cde/ecc-epd/toc-tdm.html
Shifting risk : Bail and the use of sureties,Academic Research,Problematic risk assessment leading to more bail court appearances and more inmates,7/1/2009,Nicole M. Myers,,http://www.austlii.edu.au/au/journals/CICrimJust/2009/21.pdf
The Parable of Ms Baker: Understanding Pre-Trial Detention in Canada,Academic Research,"Culture of risk aversion linked to growing remand population
",1/1/2009,"Cheryl Marie Webster, Anthony N. Doob, Nicole M. Myers",,https://www.tandfonline.com/doi/abs/10.1080/10345329.2009.12035834
"Out of Sight, Out of Mind: A Case Study of Bail Efficiency in Video Remand",Academic Research,"This study draws attention to the issue of bail court efficiency.

Video remand court, which was originally introduced to increase court efficiency, may actually be leading to additional delays.",1/1/2009,Cheryl Marie Webster,,http://www.austlii.edu.au/au/journals/CICrimJust/2009/20.pdf
Explaining Inefficiency in an Ontario Bail Court: Perspectives of Criminal Defence Lawyers,Academic Research,Paper argues that defence lawyers are not the primary reason why bail court cases are delayed ,1/1/2011,Diana Catherine Grech,,https://ruor.uottawa.ca/handle/10393/20085
A Case for Bail Reform,News Article,Good explainer on why bail needs to be reformed in mass media,6/8/2012,Kirk Makin ,Globe and Mail,https://www.theglobeandmail.com/news/national/a-case-for-bail-reform/article4244210/
Bail system a joke: Mandel,News Article,Shows right wing - fear mongering view,6/8/2012,Michele Mandel,Toronto Sun,https://torontosun.com/2012/06/08/bail-system-a-joke-mandel/wcm/704b53a4-aa87-4dde-8764-b409f967bc18
16x9 - Before The Courts: Inside Canada's bail system - YouTube,News Article,Short documentary on the police's perspective on the bail system and their efforts to make sure that people obey their release conditions. ,8/24/2012,,Global News,https://www.youtube.com/watch?v=7dmqO_h2SKg
Bail Experts Table Recommendations,Quasi-Government Report,"Recommendations to reform Ontario's bail system by a panel of stakeholders and experts
",1/1/2013,"Justice on Target Program
",Ontario Ministry of the Attorney General,http://www.ontla.on.ca/library/repository/mon/27012/325328.pdf
Creating Criminality: The Intensification of Institutional Risk Aversion Strategies and the Decline of the Bail Process,Academic Research,"Institutional risk aversion, denial of bail, onerous conditions ",1/1/2013,Nicole M. Myers,,https://tspace.library.utoronto.ca/handle/1807/35915
Reasonable Bail?,Advocacy Report,"New recommendations on enhancing language on ladder approach for crowns; police to release more; in addition to Steering Committee findings 
",9/1/2013,,John Howard Society of Ontario,https://johnhoward.on.ca/wp-content/uploads/2014/07/JHSO-Reasonable-Bail-report-final.pdf
Segregation and mental health in Ontario’s prisons: Jahn v. Ministry of Community Safety and Correctional Services,Legal Decision / Legal Challenge / Legislation,"As the result of the Jahn settlement, the Ministry of Community Safety and Correctional Services is to review how to best serve women inmates with mental illness, put in place mental health screening for all inmates, ensure people who need treatment plans and mental health services have access to them,  and train front line staff and managers on mental health issues and human rights obligations.
",9/12/2013,,Ontario Human Rights Commission,http://www.ohrc.on.ca/en/segregation-and-mental-health-ontario%E2%80%99s-prisons-jahn-v-ministry-community-safety-and-correctional
"The Application of Gladue to Bail: Problems, Challenges, and Potential",Academic Research,"The current bail crisis continues to disproportionately affect Aboriginal people, despite the sentencing principles set out by the Supreme Court of Canada in Gladue.",9/29/2014,Jillian Anne Rogin,,https://digitalcommons.osgoode.yorku.ca/cgi/viewcontent.cgi?article=1013&context=llm
Set Up to Fail: Bail and the Revolving Door of Pre-trial Detention,Advocacy Report,Analyzes systematic issues with current bail system at each step of the process from detention to release.,1/1/2014,,Canadian Civil Liberties Association,https://ccla.org/cclanewsite/wp-content/uploads/2015/02/Set-up-to-fail-FINAL.pdf
"""Broken Bail"" in Canada",Academic Research,"An overview of the seriousness of the bail crisis across Canada, with specific suggestions for a path forward, both in terms of a building a new bail regime from the ground up, or implementing improvements to the existing regime.",6/1/2015,Cheryl Marie Webster,,http://publications.gc.ca/collections/collection_2018/jus/J4-73-2015-eng.pdf
Risk Aversion in the Bail Setting: An Examination of the Predictive Validity of an Ontario Bail Supervision Program’s Risk Assessment Tool,Academic Research,"Analysis of an Ontario bail supervision's use of SPIn, a risk assessment tool, to predict bail supervision outcomes and the broader impact on cultural and systemic factors related to bail.",1/1/2015,Megan Mitchell,,https://ruor.uottawa.ca/handle/10393/32572
Who said anything about justice? Bail court and the culture of adjournment,Academic Research,"Looking at observational data from a bail court in Ontario, it becomes apparent that a ""culture of adjournment"" dominates the court system when it comes to bail, where actors are focused more on moving through the daily docket than securing justice.",4/1/2015,Nicole M. Myers,Canadian Journal of Law and Society,https://www.cambridge.org/core/journals/canadian-journal-of-law-and-society-la-revue-canadienne-droit-et-societe/article/who-said-anything-about-justice-bail-court-and-the-culture-of-adjournment/2CFD0E35E5EAB0940CACB8335E113A17
Wrongful Pre-Trial Detention in the Toronto Bail System,Academic Research,"In examining 20 bail cases from the Greater Toronto Area where charges were later withdrawn or dismissed, many of the cases amount to miscarriages of justice, as bail hearing justices failed to meaningfully assess the strength of the Crown's position in relation to the case for detention.",1/1/2015,"Nathan Gorham
","University of Toronto
",https://tspace.library.utoronto.ca/bitstream/1807/89032/3/Gorham_Nathan_J_201511_LLM_thesis.pdf
Rough justice: Lockdowns skyrocket at short-staffed Ontario jails,News Article,Chronic staffing shortage at Ontario's jails means that programs are cancelled and lockdowns are regularly deployed as a tactic to remedy shortages in staffing. During lockdowns inmates can be shut in their cells for days. ,7/9/2015,Anna Mehler Paperny ,"Global News
",https://globalnews.ca/news/2091102/rough-justice-lockdowns-skyrocket-at-short-staffed-ontario-jails/
Unlocking Change - Decriminalizing Mental Health Issues,Advocacy Report,"Exploration of the social, human and fiscal costs tied to criminalization of mental issues, with a recommendation to emphasize prevention, integration, and de-stigmatization.",1/1/2015,"John Howard Society of Ontario
",,http://www.johnhoward.on.ca/wp-content/uploads/2015/07/Unlocking-Change-Final-August-2015.pdf
